Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
ineos grenadier,7,7,40500,47,0.23,https://www.grange.co.uk/ineos-grenadier/new-cars/grenadier,56,0.28,12.00,0.86,4700000,"[81,66,81,81,44,44,54,36,36,44,66,44]",2025-11-08,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
cars lamborghini urus,43,43,40500,42,0.18,https://www.grange.co.uk/lamborghini/used-cars/lamborghini/urus-se,0,0,0.00,0.96,20800000,"[81,81,81,81,100,66,100,81,100,0,0,24]",2025-11-06,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",navigational,Organic
cars lamborghini urus,9,9,40500,42,0.18,https://www.grange.co.uk/lamborghini/used-cars/lamborghini/urus,32,0.16,5.00,0.96,20800000,"[81,81,81,81,100,66,100,81,100,0,0,24]",2025-11-06,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",navigational,Organic
cars lamborghini urus,5,5,40500,42,0.18,https://www.grange.co.uk/lamborghini/used-cars/lamborghini/urus,121,0.61,21.00,0.96,20800000,"[81,81,81,81,100,66,100,81,100,0,0,24]",2025-11-06,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",navigational,People also ask
aston martin aston martin aston martin,30,30,40500,49,0.47,https://www.grange.co.uk/aston-martin/used-cars/aston-martin?branch=aston-martin-birmingham,0,0,0.00,0.74,163000000,"[100,81,81,66,81,66,81,81,81,0,0,0]",2025-10-04,"Knowledge panel, Top stories, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches","informational, transactional",Organic
aston martin aston martin aston martin,6,6,40500,49,0.47,https://www.grange.co.uk/aston-martin/new-cars,12,0.06,5.00,0.74,163000000,"[100,81,81,66,81,66,81,81,81,0,0,0]",2025-10-04,"Knowledge panel, Top stories, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches","informational, transactional",Organic
range rover sport,30,30,40500,22,1.05,https://www.grange.co.uk/land-rover/new-cars/range-rover-sport,4,0.02,4.00,1,190000000,"[54,66,66,54,66,66,81,81,81,66,66,54]",2025-10-07,"Knowledge panel, Sitelinks, Video, Image, Ads bottom, Video Carousel, People also ask, Related searches, Ads middle",informational,Organic
range rover sport,15,15,40500,22,1.05,https://www.grange.co.uk/land-rover/used-cars/land-rover/range-rover-sport,28,0.14,29.00,1,190000000,"[54,66,66,54,66,66,81,81,81,66,66,54]",2025-10-07,"Knowledge panel, Sitelinks, Video, Image, Ads bottom, Video Carousel, People also ask, Related searches, Ads middle",informational,Organic
jaguar f pace,20,20,27100,38,0.45,https://www.grange.co.uk/jaguar/used-cars/jaguar/f-pace,8,0.04,3.00,1,25000000,"[66,54,54,44,54,54,66,66,54,54,66,54]",2025-10-04,"Knowledge panel, Sitelinks, Video, Image, Ads bottom, Video Carousel, People also ask, Related searches, Ads middle",informational,Organic
bentley continental gt,15,15,22200,38,0.65,https://www.grange.co.uk/bentley/new-cars/continental-gt,6,0.03,3.00,1,14600000,"[67,67,54,67,81,67,67,67,67,67,67,67]",2025-10-06,"Knowledge panel, Sitelinks, Video, Image, Ads bottom, Video Carousel, People also ask, Related searches, Ads middle",informational,Organic
rolls royce rolls royce rolls royce,51,51,22200,80,0.95,https://www.grange.co.uk/rolls-royce/heritage,0,0,0.00,0.53,156000000,"[81,81,81,67,100,81,81,81,81,81,0,29]",2025-11-04,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",navigational,Organic
rolls royce rolls royce rolls royce,24,24,22200,80,0.95,https://www.grange.co.uk/rolls-royce,3,0.01,2.00,0.53,156000000,"[81,81,81,67,100,81,81,81,81,81,0,29]",2025-11-04,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",navigational,Organic
cars lamborghini huracan,16,16,18100,40,0.15,https://www.grange.co.uk/lamborghini/used-cars/lamborghini/huracan,5,0.02,0.00,0.78,28700000,"[44,54,44,44,44,29,66,81,100,0,0,13]",2025-10-07,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",navigational,Organic
rolls royce cullinan,10,10,18100,26,0.19,https://www.grange.co.uk/rolls-royce/new-cars/cullinan/cullinan,10,0.05,1.00,0.93,9,"[100,81,66,54,100,66,81,81,100,100,81,81]",2025-11-08,"Knowledge panel, Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches","informational, navigational",Organic
bentley bentayga,32,32,18100,28,0.86,https://www.grange.co.uk/bentley/new-cars/bentayga,1,0,0.00,0.98,10,"[54,54,44,44,44,44,54,54,54,67,54,54]",2025-11-12,"Knowledge panel, Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
bentley continental continental gt,25,25,14800,40,0.65,https://www.grange.co.uk/bentley/new-cars/continental-gtc,0,0,0.00,1,17700000,"[36,44,36,44,54,36,81,100,54,81,0,16]",2025-10-07,"Knowledge panel, Sitelinks, Video, Image, Ads bottom, Video Carousel, People also ask, Related searches, Ads middle",informational,Organic
lambo,16,16,14800,74,0.77,https://www.grange.co.uk/lamborghini/heritage,4,0.02,3.00,0.82,240000000,"[100,13,44,100,24,16,20,20,36,13,24,10]",2025-11-09,"Knowledge panel, Top stories, Sitelinks, Video, Image, Video Carousel, People also ask",navigational,Organic
motor range,65,65,14800,34,0.68,https://www.grange.co.uk/used-cars,0,0,0.00,0.89,1260000000,"[66,44,36,36,54,44,66,44,54,54,54,44]",2025-10-04,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
motor range,15,15,14800,34,0.68,https://www.grange.co.uk/,8,0.04,5.00,0.89,1260000000,"[66,44,36,36,54,44,66,44,54,54,54,44]",2025-10-04,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
defender land rover automatic,66,66,14800,21,0.80,https://www.grange.co.uk/land-rover/used-cars/land-rover/defender,0,0,0.00,1,10,"[0,1,1,0,24,20,7,81,100,29,0,29]",2025-11-09,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",commercial,Organic
glc,24,24,14800,33,0.70,https://www.grange.co.uk/used-cars/mercedes-benz/glc-class,10,0.05,7.00,0.86,81500000,"[54,81,100,44,81,44,66,66,66,54,54,66]",2025-10-06,"Knowledge panel, Image pack, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
roll rolls royce,35,35,14800,72,0.95,https://www.grange.co.uk/rolls-royce/new-cars,0,0,0.00,0.53,16900000,"[0,0,0,0,0,5,7,100,100,44,0,16]",2025-10-06,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",navigational,Organic
aston martin aston,14,14,14800,53,0.47,https://www.grange.co.uk/aston-martin/new-cars,4,0.02,1.00,0.74,158000000,"[0,0,0,0,20,4,7,100,100,44,0,0]",2025-10-31,"Knowledge panel, Top stories, Sitelinks, Video, Image, Ads bottom, Video Carousel, People also ask, Related searches",informational,Organic
aston martin martin vantage,37,37,12100,42,0.23,https://www.grange.co.uk/aston-martin/used-cars/aston-martin,0,0,0.00,0.87,18800000,"[2,0,0,0,2,67,36,81,100,54,81,0]",2025-09-30,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches","informational, transactional",Organic
aston martin martin vantage,24,24,12100,42,0.23,https://www.grange.co.uk/aston-martin/used-cars/aston-martin/vantage,1,0,0.00,0.87,18800000,"[2,0,0,0,2,67,36,81,100,54,81,0]",2025-09-30,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches","informational, transactional",Organic
db9 cars,12,12,12100,24,0.16,https://www.grange.co.uk/aston-martin/used-cars/aston-martin/db9,18,0.09,2.00,0.91,6050000,"[81,81,66,66,66,66,81,81,100,81,0,7]",2025-10-07,"Knowledge panel, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
rolls royce phantom,46,46,12100,53,0.36,https://www.grange.co.uk/rolls-royce/new-cars/phantom,0,0,0.00,0.78,17800000,"[66,66,44,44,66,44,66,66,54,54,66,54]",2025-10-28,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
rolls royce phantom,17,17,12100,53,0.36,https://www.grange.co.uk/rolls-royce/new-cars/phantom/phantom-ewb,3,0.01,1.00,0.78,17800000,"[66,66,44,44,66,44,66,66,54,54,66,54]",2025-10-28,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
urus,31,31,9900,58,0.18,https://www.grange.co.uk/lamborghini/new-cars/urus,6,0.03,1.00,0.83,38200000,"[44,44,54,54,44,44,54,44,54,44,54,54]",2025-10-05,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",transactional,Organic
range rover for sale,69,69,9900,27,0.29,https://www.grange.co.uk/land-rover/used-cars?branch=land-rover-hatfield,0,0,0.00,0.98,117000000,"[81,81,66,66,81,81,100,81,81,81,100,100]",2025-10-06,"Local pack, Sitelinks, Image, Related searches",transactional,Organic
range rover for sale,53,53,9900,27,0.29,https://www.grange.co.uk/land-rover,0,0,0.00,0.98,117000000,"[81,81,66,66,81,81,100,81,81,81,100,100]",2025-10-06,"Local pack, Sitelinks, Image, Related searches",transactional,Organic
range rover sport for sale,35,35,9900,22,0.28,https://www.grange.co.uk/land-rover/used-cars/land-rover/range-rover-sport,2,0.01,0.00,1,78000000,"[81,81,81,81,81,81,81,81,81,81,100,81]",2025-11-09,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",transactional,Organic
range rover discovery,18,18,9900,20,1.43,https://www.grange.co.uk/land-rover/used-cars/land-rover/discovery,14,0.07,20.00,1,10,"[54,54,66,54,81,66,81,100,100,66,44,44]",2025-11-10,"Knowledge panel, Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
rolls royce phantom auto,44,44,9900,50,0.36,https://www.grange.co.uk/rolls-royce/new-cars/phantom,0,0,0.00,0.78,9790000,"[3,3,2,3,54,54,81,100,66,81,0,19]",2025-10-06,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
rolls royce phantom rolls royce,75,75,9900,38,0.36,https://www.grange.co.uk/rolls-royce/new-cars/phantom,0,0,0.00,0.78,19100000,"[3,3,2,3,54,54,81,100,66,81,0,19]",2025-11-08,"Knowledge panel, Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
rolls royce phantom rolls royce,17,17,9900,38,0.36,https://www.grange.co.uk/rolls-royce/new-cars/phantom/phantom-ewb,14,0.07,5.00,0.78,19100000,"[3,3,2,3,54,54,81,100,66,81,0,19]",2025-11-08,"Knowledge panel, Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
aston martin dbs,52,52,8100,40,0.26,https://www.grange.co.uk/aston-martin/new-cars/dbs,0,0,0.00,0.79,5520000,"[66,66,44,54,66,44,36,44,44,44,44,54]",2025-10-05,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches, AI overview","informational, transactional",Organic
aston martin dbs,29,29,8100,40,0.26,https://www.grange.co.uk/aston-martin/used-cars/aston-martin/dbs,2,0.01,0.00,0.79,5520000,"[66,66,44,54,66,44,36,44,44,44,44,54]",2025-10-05,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches, AI overview","informational, transactional",Organic
rolls royce ghost,27,27,8100,35,0.26,https://www.grange.co.uk/rolls-royce/new-cars/ghost,0,0,0.00,0.86,14200000,"[44,66,44,44,44,44,44,36,44,66,66,44]",2025-10-06,"Knowledge panel, Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
rolls royce ghost,4,4,8100,35,0.26,https://www.grange.co.uk/rolls-royce/new-cars/ghost-series-ii/ghost,2,0.01,0.00,0.86,14200000,"[44,66,44,44,44,44,44,36,44,66,66,44]",2025-10-06,"Knowledge panel, Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
aston martin martin db9,23,23,8100,35,0.16,https://www.grange.co.uk/aston-martin/used-cars/aston-martin/db9-gt,1,0,0.00,0.91,4950000,"[7,7,3,5,54,81,100,81,100,81,0,29]",2025-11-06,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches","informational, navigational",Organic
land rover approved used,38,38,8100,36,1.65,https://www.grange.co.uk/land-rover/used-cars/land-rover,0,0,0.00,1,157000000,"[66,81,66,81,81,81,66,66,66,66,81,66]",2025-10-05,"Sitelinks, Image, People also ask, Related searches",commercial,Organic
aston martin db9 roadster,57,57,8100,16,0.16,https://www.grange.co.uk/aston-martin/used-cars/aston-martin/db9-volante,0,0,0.00,0.91,10,"[3,0,0,5,54,81,100,81,100,81,0,29]",2025-11-08,"Knowledge panel, Image pack, Video, Image, Video Carousel, People also ask, Related searches","informational, transactional",Organic
lambo urus,1,1,8100,58,0.18,https://www.grange.co.uk/lamborghini/used-cars/lamborghini/urus,40,0.2,7.00,0.96,5030000,"[66,66,54,54,66,81,81,54,81,54,66,54]",2025-11-04,"Image pack, Sitelinks, Video, Image, People also ask, Related searches","informational, transactional",People also ask
rolls royce price,23,23,8100,39,0.32,https://www.grange.co.uk/rolls-royce/used-cars/rolls-royce,5,0.02,1.00,0.65,82300000,"[54,54,54,54,66,66,81,81,66,81,81,81]",2025-10-05,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview",commercial,Organic
forester auto,9,9,8100,29,0.50,https://www.grange.co.uk/subaru/new-cars/forester,24,0.12,12.00,0.99,10,"[2,2,0,2,3,66,100,66,81,66,0,24]",2025-11-10,"Knowledge panel, Image pack, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
alpine cars,38,38,6600,29,0.27,https://www.grange.co.uk/alpine/new-cars,0,0,0.00,1,10,"[36,29,29,24,36,24,36,54,100,54,54,54]",2025-11-08,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Related searches","navigational, transactional",Organic
alpine cars,17,17,6600,29,0.27,https://www.grange.co.uk/alpine,1,0,0.00,1,10,"[36,29,29,24,36,24,36,54,100,54,54,54]",2025-11-08,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Related searches","navigational, transactional",Organic
land rover land rover discovery,37,37,6600,34,1.30,https://www.grange.co.uk/land-rover/used-cars/land-rover/discovery,0,0,0.00,1,10,"[0,0,0,3,81,81,100,54,54,66,1,29]",2025-11-09,"Knowledge panel, Image pack, Sitelinks, Video, Image, Ads bottom, Video Carousel, People also ask, Related searches",informational,Organic
new range rover,14,14,6600,24,0.67,https://www.grange.co.uk/land-rover/new-cars,9,0.04,6.00,0.98,236000000,"[10,10,16,10,20,13,20,24,24,13,7,7]",2025-11-10,"Image pack, Sitelinks, Video, Image, Ads bottom, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview","informational, transactional",Organic
rolls-royce,36,36,6600,77,0.00,https://www.grange.co.uk/rolls-royce/new-cars,0,0,0.00,0,156000000,"[54,36,24,29,29,36,29,36,36,24,29,29]",2025-10-07,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",navigational,Organic
rover discovery range rover,52,52,6600,34,1.43,https://www.grange.co.uk/land-rover,0,0,0.00,1,37400000,"[54,54,54,54,54,44,100,54,44,19,0,19]",2025-10-06,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
range rover autobiography,19,19,6600,19,0.83,https://www.grange.co.uk/land-rover/used-cars/land-rover/range-rover,9,0.04,7.00,1,36700000,"[66,66,66,66,81,81,81,81,100,100,100,100]",2025-11-09,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches","informational, transactional",Organic
roll rouse,26,26,6600,67,0.84,https://www.grange.co.uk/rolls-royce/new-cars,1,0,0.00,0.56,145000000,"[0,0,0,0,0,0,0,0,100,44,0,0]",2025-10-04,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",navigational,Organic
grange,1,1,6600,59,0.28,https://www.grange.co.uk/,9,0.04,2.00,0.03,73000000,"[54,54,44,54,66,44,54,44,36,66,54,54]",2025-10-07,"Instant answer, Local pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
subaru forever,6,6,6600,30,0.00,https://www.grange.co.uk/subaru/new-cars/forester,11,0.05,0.00,0.33,10,"[0,0,0,0,0,66,100,66,81,0,0,0]",2025-11-07,"Knowledge panel, Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
vauxhall cars,56,56,6600,55,0.53,https://www.grange.co.uk/vauxhall/offers,0,0,0.00,1,77500000,"[81,81,66,66,81,81,100,81,81,66,100,81]",2025-10-31,"Knowledge panel, Local pack, Sitelinks, Image, Ads bottom, People also ask, Related searches","informational, transactional",Organic
rolls royce wraith,13,13,6600,41,0.17,https://www.grange.co.uk/rolls-royce/new-cars/wraith,1,0,0.00,0.85,4290000,"[44,36,44,36,81,36,44,29,44,36,44,36]",2025-10-29,"Knowledge panel, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
grenadier,17,17,6600,44,0.24,https://www.grange.co.uk/ineos-grenadier/new-cars/grenadier,9,0.04,2.00,0.82,15400000,"[66,66,81,100,81,66,81,54,81,54,66,66]",2025-10-30,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview","informational, transactional",Organic
aston martin db11,8,8,6600,21,0.13,https://www.grange.co.uk/aston-martin/used-cars/aston-martin/db11,33,0.16,4.00,0.87,10,"[29,29,29,36,29,44,44,54,44,44,44,36]",2025-11-11,"Knowledge panel, Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",navigational,Organic
aston martin db11,1,1,6600,21,0.13,https://www.grange.co.uk/aston-martin/used-cars/aston-martin/db11,0,0,0.00,0.87,10,"[29,29,29,36,29,44,44,54,44,44,44,36]",2025-11-11,"Knowledge panel, Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",navigational,People also ask
used land rover,57,57,5400,34,0.93,https://www.grange.co.uk/land-rover/used-cars/land-rover,0,0,0.00,1,46300000,"[36,36,44,36,36,44,36,36,36,54,44,44]",2025-09-30,"Sitelinks, Video, Image, Ads top, Ads bottom, Video Carousel, Related searches, Ads middle",commercial,Organic
used land rover,22,22,5400,34,0.93,https://www.grange.co.uk/land-rover,1,0,0.00,1,46300000,"[36,36,44,36,36,44,36,36,36,54,44,44]",2025-09-30,"Sitelinks, Video, Image, Ads top, Ads bottom, Video Carousel, Related searches, Ads middle",commercial,Organic
bentley flying spur,35,35,5400,29,1.44,https://www.grange.co.uk/bentley/new-cars/flying-spur,0,0,0.00,0.92,10,"[81,44,36,44,44,44,44,44,44,54,44,44]",2025-11-10,"Knowledge panel, Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
evoque,40,40,5400,22,1.73,https://www.grange.co.uk/land-rover/new-car-stock/range-rover-evoque,0,0,0.00,0.94,10,"[54,54,54,44,66,66,66,54,66,44,54,54]",2025-11-07,"Knowledge panel, Sitelinks, Video, Image, Ads top, Ads bottom, Video Carousel, People also ask, Related searches",informational,Organic
bentley continental,19,19,5400,48,1.14,https://www.grange.co.uk/bentley/new-cars/continental-gt,1,0,1.00,0.95,26000000,"[44,54,54,66,66,54,66,54,81,66,66,81]",2025-10-04,"Knowledge panel, Video, Image, Ads bottom, Video Carousel, People also ask, Related searches, Ads middle","informational, transactional",Organic
automobile alpine,11,11,5400,58,0.27,https://www.grange.co.uk/alpine/new-cars,8,0.04,2.00,1,75400000,"[2,10,3,7,36,36,66,81,100,1,0,29]",2025-10-06,"Local pack, Image pack, Sitelinks, Video, Image, Ads bottom, Video Carousel, People also ask, Related searches, Ads middle",commercial,Organic
aston martin valiant,96,96,5400,42,0.00,https://www.grange.co.uk/aston-martin/used-cars/aston-martin/valiant,0,0,0.00,0.17,1110000,"[5,4,24,4,100,24,16,16,16,13,16,10]",2025-11-09,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask","informational, transactional",Organic
aston martin valiant,42,42,5400,42,0.00,https://www.grange.co.uk/aston-martin/news/news-valiant,0,0,0.00,0.17,1110000,"[5,4,24,4,100,24,16,16,16,13,16,10]",2025-11-09,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask","informational, transactional",Organic
aston martin valiant,9,9,5400,42,0.00,https://www.grange.co.uk/aston-martin/new-cars/valiant,4,0.02,0.00,0.17,1110000,"[5,4,24,4,100,24,16,16,16,13,16,10]",2025-11-09,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask","informational, transactional",Organic
alpine car,17,17,5400,52,0.27,https://www.grange.co.uk/alpine/new-cars,1,0,0.00,1,204000,"[23,19,13,29,13,36,66,66,100,66,81,44]",2025-11-12,"Knowledge panel, Sitelinks, Video, Image, Ads bottom, Video Carousel, People also ask, Related searches",navigational,Organic
ferrari car 488,20,20,5400,37,1.64,https://www.grange.co.uk/aston-martin/used-cars/ferrari/488-gtb?branch=aston-martin-birmingham,1,0,1.00,0.78,20200000,"[8,15,3,10,66,54,100,66,81,100,0,13]",2025-10-06,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
lamborghini temerario,45,45,5400,34,0.00,https://www.grange.co.uk/lamborghini/new-cars/temerario,0,0,0.00,0.13,10,"[24,19,19,29,24,13,24,24,24,24,24,24]",2025-11-11,"Knowledge panel, Image pack, Video, Image, People also ask, Related searches",informational,Organic
road royce price,9,9,5400,25,0.32,https://www.grange.co.uk/rolls-royce/new-cars/black-badge/ghost-series-ii,8,0.04,2.00,0.65,75500000,"[8,15,4,10,54,66,100,66,81,100,0,0]",2025-10-05,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",transactional,Organic
road royce price,5,5,5400,25,0.32,https://www.grange.co.uk/rolls-royce/new-cars/ghost-series-ii/ghost,8,0.04,2.00,0.65,75500000,"[8,15,4,10,54,66,100,66,81,100,0,0]",2025-10-05,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",transactional,Organic
new range rover sport,32,32,5400,17,2.43,https://www.grange.co.uk/land-rover/new-cars/range-rover-sport,1,0,2.00,1,10,"[13,10,19,13,24,16,24,29,29,16,3,3]",2025-11-08,"Image pack, Sitelinks, Video, Image, Ads bottom, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview","informational, transactional",Organic
aston martin aston martin dbs,17,17,5400,31,0.26,https://www.grange.co.uk/aston-martin/used-cars/aston-martin/dbs,3,0.01,0.00,0.79,7690000,"[4,8,3,4,66,44,36,54,66,81,0,29]",2025-10-14,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",commercial,Organic
aston martin dbs cars,12,12,5400,34,0.26,https://www.grange.co.uk/aston-martin/used-cars/aston-martin/dbs,8,0.04,2.00,0.79,7510000,"[4,8,3,4,66,44,36,54,66,81,0,29]",2025-10-23,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview","informational, transactional",Organic
ferrari 488 car,14,14,5400,18,1.64,https://www.grange.co.uk/aston-martin/used-cars/ferrari/488-gtb?branch=aston-martin-birmingham,8,0.04,13.00,0.78,10,"[8,15,3,10,66,54,100,66,81,100,0,13]",2025-11-09,"Knowledge panel, Image pack, Video, Image, Video Carousel, People also ask, Related searches","informational, transactional",Organic
aston martin cygnet,31,31,5400,20,0.00,https://www.grange.co.uk/aston-martin/used-cars/aston-martin/cygnet,1,0,0.00,0.21,10,"[44,54,44,36,36,44,100,54,44,54,54,54]",2025-11-11,"Knowledge panel, Image pack, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
