Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,grange.co.uk,hrowen.co.uk,grange.co.uk (pages),hrowen.co.uk (pages),Results
bentley used sale,Transactional,320,28,0.35,1.00,36,3,https://www.grange.co.uk/bentley/used-cars?branch=bentley-chelmsford,https://www.hrowen.co.uk/bentley/used-cars/,42000000
bently price,Transactional,320,28,1.07,0.87,15,6,https://www.grange.co.uk/bentley/used-cars/bentley,https://www.hrowen.co.uk/bentley/model-range/,147000000
black bentley,Informational,320,19,0.92,0.51,31,6,https://www.grange.co.uk/bentley/new-cars/bentayga/s-black-edition,https://www.hrowen.co.uk/bentley/news/the-bentley-black-edition/,208000000
black huracan lamborghini,"Commercial, Informational",320,16,0.00,0.51,20,64,https://www.grange.co.uk/lamborghini/used-cars/details/lamborghini/huracan-awd-spyder/lp-610-4-2dr-ldf?regno=E5ARU,https://www.hrowen.co.uk/lamborghini/huracan-range/,22600000
black on black rolls royce,"Informational, Transactional",320,18,0.00,0.38,7,5,https://www.grange.co.uk/rolls-royce/new-cars/black-badge/ghost-series-ii,https://www.hrowen.co.uk/rolls-royce/ghost-range/black-badge-ghost/,103000000
black rolls royce,Informational,320,60,0.00,0.38,72,13,https://blog.grange.co.uk/rolls-royce-motor-cars-edinburgh-celebrates-the-arrival-of-the-new-black-badge-ghost/,https://www.hrowen.co.uk/rolls-royce/ghost-range/black-badge-ghost/,116000000
careers lamborghini,Commercial,320,28,0.00,0.00,3,11,https://careers.grange.co.uk/lamborghini,https://www.hrowen.co.uk/careers/,24900000
cost of an aston martin,"Commercial, Informational",320,25,0.00,0.87,24,37,https://www.grange.co.uk/aston-martin/new-cars,https://www.hrowen.co.uk/aston-martin/used-cars/,46400000
cost rolls royce ghost,Commercial,320,21,1.34,0.69,5,35,https://www.grange.co.uk/rolls-royce/new-cars/ghost-series-ii/ghost,https://www.hrowen.co.uk/rolls-royce/ghost-range/,1320000
db12 price,Commercial,320,22,0.37,0.78,16,22,https://www.grange.co.uk/aston-martin/used-cars/aston-martin/db12,https://www.hrowen.co.uk/aston-martin/db12-range/db12-volante/,1530000
dealer aston martin,"Commercial, Navigational",320,45,0.00,0.00,6,3,https://www.grange.co.uk/aston-martin/find-a-dealer/aston-martin-birmingham,https://www.hrowen.co.uk/aston-martin/,25100000
ghost rolls royce,Navigational,320,41,1.05,0.73,32,5,https://www.grange.co.uk/rolls-royce/new-cars/ghost,https://www.hrowen.co.uk/rolls-royce/ghost-range/,12600000
huracan evo spyder,Informational,320,23,0.00,0.72,17,3,https://www.grange.co.uk/lamborghini/used-cars/lamborghini/huracan-evo-spyder,https://www.hrowen.co.uk/lamborghini/huracan-range/huracan-evo-spyder/,2480000
huracan performante lamborghini,Informational,320,20,0.09,0.48,18,15,https://www.grange.co.uk/lamborghini/used-cars/lamborghini/huracan-performante,https://www.hrowen.co.uk/news/lamborghini-huracan-performante/,6740000
interior of a rolls royce,Informational,320,35,0.00,0.03,92,57,https://www.grange.co.uk/rolls-royce/news/news-ghost-ii,https://www.hrowen.co.uk/rolls-royce/news/celebrating-the-art-of-lace-rolls-royce-unveils-one-of-one-phantom-dentelle/,64000000
jobs with lamborghini,Commercial,320,26,0.00,0.00,4,10,https://careers.grange.co.uk/lamborghini,https://www.hrowen.co.uk/careers/,18900000
lambo cars,Informational,320,55,0.50,0.71,10,6,https://www.grange.co.uk/lamborghini/new-cars,https://www.hrowen.co.uk/lamborghini/model-range/,258000000
lamborghini careers,Commercial,320,25,0.00,0.00,6,10,https://careers.grange.co.uk/lamborghini,https://www.hrowen.co.uk/careers/,22500000
lamborghini company jobs,Commercial,320,20,0.00,0.00,3,10,https://careers.grange.co.uk/lamborghini,https://www.hrowen.co.uk/careers/,6710000
lamborghini england,Commercial,320,36,0.36,0.57,6,2,https://www.grange.co.uk/lamborghini,https://www.hrowen.co.uk/lamborghini/,9570000
lamborghini finance,Informational,320,16,1.72,0.99,38,4,https://www.grange.co.uk/lamborghini,https://www.hrowen.co.uk/lamborghini/finance/,22800000
lamborghini jobs,Commercial,320,26,0.00,0.00,4,8,https://careers.grange.co.uk/lamborghini,https://www.hrowen.co.uk/careers/,21000000
lamborghini model,"Informational, Transactional",320,25,0.23,0.50,31,5,https://www.grange.co.uk/lamborghini/masterpieces,https://www.hrowen.co.uk/lamborghini/model-range/,195000000
lamborghini new,Navigational,320,32,0.00,0.03,6,3,https://www.grange.co.uk/lamborghini/new-cars,https://www.hrowen.co.uk/lamborghini/model-range/,246000000
lamborghini second hand for sale,Transactional,320,23,0.17,0.79,8,3,https://www.grange.co.uk/lamborghini/used-cars/lamborghini,https://www.hrowen.co.uk/lamborghini/used-cars/,26200000
lamborghini sub,Navigational,320,57,0.43,0.88,24,7,https://www.grange.co.uk/lamborghini/new-cars/urus,https://www.hrowen.co.uk/lamborghini/urus-range/,48300000
lamborghini suv price,"Commercial, Navigational",320,45,0.31,0.91,12,6,https://www.grange.co.uk/lamborghini/used-cars/lamborghini/urus,https://www.hrowen.co.uk/lamborghini/urus-range/,29300000
lamborghini used,Informational,320,28,0.26,0.61,7,3,https://www.grange.co.uk/lamborghini,https://www.hrowen.co.uk/lamborghini/used-cars/,87200000
mulliner,"Informational, Navigational",320,28,1.07,0.40,16,6,https://www.grange.co.uk/bentley/mulliner,https://www.hrowen.co.uk/bentley/flying-spur-range/mulliner/,2570000
new astin martin,Informational,320,28,0.44,0.08,3,19,https://www.grange.co.uk/aston-martin/new-cars,https://www.hrowen.co.uk/aston-martin/model-range/,157000000
new aston martin vanquish v12,"Commercial, Informational",320,44,0.43,0.02,71,36,https://www.grange.co.uk/aston-martin/new-cars/vanquish/v12,https://www.hrowen.co.uk/aston-martin/vanquish-range/,2800000
older bentley cars,"Commercial, Informational",320,17,0.27,0.34,62,28,https://www.grange.co.uk/bentley/used-cars/bentley,https://www.hrowen.co.uk/bentley/used-cars/,5250000
pre owned aston martin for sale,Transactional,320,25,0.16,0.94,6,8,https://www.grange.co.uk/aston-martin/used-cars/aston-martin,https://www.hrowen.co.uk/aston-martin/used-cars/,14200000
rolls royce bentley,Informational,320,26,0.00,0.07,49,68,https://www.grange.co.uk/rolls-royce/used-cars/rolls-royce/bentley-essex,https://www.hrowen.co.uk/bentley/,49700000
rolls royce black badge,"Informational, Transactional",320,41,0.00,0.63,5,24,https://www.grange.co.uk/rolls-royce/new-cars/ghost/ghost-black-badge,https://www.hrowen.co.uk/rolls-royce/black-badge-range/,13000000
rolls royce black on black,"Informational, Transactional",320,20,0.00,0.38,7,9,https://www.grange.co.uk/rolls-royce/new-cars/black-badge/ghost-series-ii,https://www.hrowen.co.uk/rolls-royce/ghost-range/black-badge-ghost/,110000000
rolls royce dealership,Commercial,320,39,1.74,0.47,17,2,https://www.grange.co.uk/rolls-royce,https://www.hrowen.co.uk/rolls-royce/,36300000
rolls royce ghost cost,Commercial,320,22,1.34,0.69,4,34,https://www.grange.co.uk/rolls-royce/new-cars/ghost-series-ii/ghost,https://www.hrowen.co.uk/rolls-royce/ghost-range/,2860000
rolls royce history,Informational,320,38,0.00,0.03,6,54,https://www.grange.co.uk/rolls-royce/heritage,https://www.hrowen.co.uk/rolls-royce/news/the-116-year-history-of-rolls-royce/,46700000
rolls royce in black,"Informational, Transactional",320,22,0.00,0.38,8,9,https://www.grange.co.uk/rolls-royce/new-cars/black-badge/ghost-series-ii,https://www.hrowen.co.uk/rolls-royce/cullinan-range/black-badge-cullinan/,121000000
rolls royce phantom car,"Informational, Transactional",320,56,0.30,0.44,21,9,https://www.grange.co.uk/rolls-royce/new-cars/phantom,https://www.hrowen.co.uk/rolls-royce/phantom-range/,17100000
rolls royce vehicles,Navigational,320,53,0.58,0.82,21,24,https://www.grange.co.uk/rolls-royce/new-cars,https://www.hrowen.co.uk/rolls-royce/used-cars/,42600000
rolls royce wraith car price,Commercial,320,28,0.61,0.69,35,64,https://www.grange.co.uk/rolls-royce/used-cars/rolls-royce/wraith,https://www.hrowen.co.uk/rolls-royce/used-cars/,1410000
rolls-royce spectre price,Transactional,320,30,0.00,0.00,39,43,https://www.grange.co.uk/rolls-royce/used-cars/rolls-royce/spectre,https://www.hrowen.co.uk/rolls-royce/spectre-range/spectre/,2960000
rr ghost price,"Commercial, Navigational",320,19,1.34,0.69,6,3,https://www.grange.co.uk/rolls-royce/new-cars/ghost-series-ii/ghost,https://www.hrowen.co.uk/rolls-royce/ghost-range/,13600000
rr wraith price,"Commercial, Navigational",320,19,0.61,0.69,23,34,https://www.grange.co.uk/rolls-royce/used-cars/rolls-royce/wraith,https://www.hrowen.co.uk/rolls-royce/used-cars/,2430000
spectre vehicle,"Informational, Transactional",320,45,0.00,0.57,32,18,https://www.grange.co.uk/rolls-royce/new-cars/spectre,https://www.hrowen.co.uk/rolls-royce/spectre-range/,9340000
the spectre's,Informational,320,22,0.00,0.04,42,47,https://www.grange.co.uk/rolls-royce/new-cars/spectre,https://www.hrowen.co.uk/rolls-royce/spectre-range/,61600000
used aston martin dbx,Commercial,320,17,0.20,0.58,4,8,https://www.grange.co.uk/aston-martin/used-cars/aston-martin/dbx,https://www.hrowen.co.uk/aston-martin/used-cars/dbx/,1430000
used bentleys,Commercial,320,27,0.45,1.00,12,3,https://www.grange.co.uk/bentley,https://www.hrowen.co.uk/bentley/used-cars/,1380000
used bentleys for sale,Transactional,320,22,0.35,1.00,35,4,https://www.grange.co.uk/bentley/used-cars/bentley,https://www.hrowen.co.uk/bentley/used-cars/,662000
used lamborghini urus,Commercial,320,12,0.17,0.66,11,3,https://www.grange.co.uk/lamborghini/used-cars/lamborghini/urus,https://www.hrowen.co.uk/lamborghini/urus-range/,7550000
used rolls royce cars for sale,Transactional,320,16,0.11,0.91,34,2,https://www.grange.co.uk/rolls-royce/used-cars/rolls-royce,https://www.hrowen.co.uk/rolls-royce/used-cars/,40700000
who owns rolls-royce,Informational,320,33,0.00,0.00,43,37,https://www.grange.co.uk/rolls-royce/heritage,https://www.hrowen.co.uk/rolls-royce/used-cars/,162000000
2024 aston martin dbx for sale,Transactional,260,16,0.00,0.73,21,40,https://www.grange.co.uk/aston-martin/used-cars/aston-martin/dbx,https://www.hrowen.co.uk/aston-martin/dbx-range/,1300000
4 door bentley flying spur,"Informational, Transactional",260,47,0.58,0.71,35,10,https://www.grange.co.uk/bentley/new-cars/flying-spur,https://www.hrowen.co.uk/bentley/news/the-new-bentley-flying-spur-the-worlds-first-four-door-supercar/,2170000
all the models of lamborghini,Informational,260,41,0.00,0.10,28,6,https://www.grange.co.uk/lamborghini/masterpieces,https://www.hrowen.co.uk/lamborghini/model-range/,43900000
approved used aston martin,Commercial,260,32,0.52,0.59,7,3,https://www.grange.co.uk/aston-martin/used-cars/aston-martin,https://www.hrowen.co.uk/aston-martin/used-cars/,88
aston martin car price,Commercial,260,23,0.43,0.84,7,24,https://www.grange.co.uk/aston-martin/new-cars,https://www.hrowen.co.uk/aston-martin/used-cars/,58600000
aston martin dbx 707 for sale,Transactional,260,17,0.17,1.00,7,15,https://www.grange.co.uk/aston-martin/used-cars/aston-martin/dbx,https://www.hrowen.co.uk/aston-martin/dbx-range/dbx707/,596000
aston martin dealer,"Commercial, Navigational",260,47,1.12,0.53,5,2,https://www.grange.co.uk/aston-martin/find-a-dealer/aston-martin-hatfield,https://www.hrowen.co.uk/aston-martin/,23900000
aston martin dealership near me,"Navigational, Transactional",260,40,0.98,0.84,4,5,https://www.grange.co.uk/aston-martin/find-a-dealer/aston-martin-brentwood,https://www.hrowen.co.uk/aston-martin/,19500000
aston martin dealerships,"Commercial, Navigational",260,44,1.12,0.53,3,11,https://www.grange.co.uk/aston-martin/find-a-dealer/aston-martin-birmingham,https://www.hrowen.co.uk/aston-martin/,25600000
aston martin f1 edition,Commercial,260,17,0.34,0.66,26,37,https://www.grange.co.uk/aston-martin/used-cars/aston-martin/vantage-f1-edition,https://www.hrowen.co.uk/aston-martin/vantage-range/,32300000
aston martin range,Navigational,260,40,0.36,0.71,8,11,https://www.grange.co.uk/aston-martin/new-cars,https://www.hrowen.co.uk/aston-martin/model-range/,55000000
aston martin second hand for sale,Transactional,260,19,0.16,1.00,6,7,https://www.grange.co.uk/aston-martin/used-cars/aston-martin,https://www.hrowen.co.uk/aston-martin/used-cars/,9
aston martin timeless,Navigational,260,15,0.72,0.31,3,37,https://www.grange.co.uk/aston-martin/timeless,https://www.hrowen.co.uk/aston-martin/news/timeless-in-changing-times-aston-martin-cheltenham-celebrates-15-years/,2510000
aston martin valour for sale,Transactional,260,8,0.64,0.47,5,25,https://www.grange.co.uk/aston-martin/new-cars/valour,https://www.hrowen.co.uk/aston-martin/used-cars/,132000
bentayga bentley,"Informational, Transactional",260,47,1.03,0.91,27,6,https://www.grange.co.uk/bentley/new-cars/bentayga,https://www.hrowen.co.uk/bentley/bentayga-range/,7160000
bentega,"Informational, Transactional",260,41,1.11,0.86,36,7,https://www.grange.co.uk/bentley/new-cars/bentayga,https://www.hrowen.co.uk/bentley/bentayga-range/,7580000
benteyga,"Informational, Transactional",260,41,1.11,0.86,32,6,https://www.grange.co.uk/bentley/new-cars/bentayga,https://www.hrowen.co.uk/bentley/bentayga-range/,7570000
bentley bentaga,"Informational, Transactional",260,40,1.03,0.91,20,6,https://www.grange.co.uk/bentley/new-cars/bentayga,https://www.hrowen.co.uk/bentley/bentayga-range/,7160000
bentley bentley flying spur,Navigational,260,43,0.58,0.71,28,5,https://www.grange.co.uk/bentley/new-cars/flying-spur,https://www.hrowen.co.uk/bentley/used-cars/flying-spur/,11500000
bentley cars crewe,Navigational,260,47,1.07,0.36,74,79,https://www.grange.co.uk/bentley/craftsmanship,https://www.hrowen.co.uk/news/bentley-suv-gets-green-light/,191000
bentley continental gt black,Informational,260,21,1.31,0.79,30,6,https://www.grange.co.uk/bentley/new-cars/continental-gt,https://www.hrowen.co.uk/bentley/news/the-bentley-black-edition/,12400000
bentley continental gt v8,Informational,260,31,0.34,0.68,56,8,https://www.grange.co.uk/bentley/new-cars/continental-gt,https://www.hrowen.co.uk/bentley/continental-gt-range/,4490000
bentley cost,Informational,260,34,1.08,0.80,32,24,https://www.grange.co.uk/bentley/used-cars/bentley,https://www.hrowen.co.uk/bentley/model-range/,84000000
bentley dealership,Commercial,260,36,1.46,0.63,5,3,https://www.grange.co.uk/bentley,https://www.hrowen.co.uk/bentley/,50100000
bentley finance,Informational,260,19,2.20,0.79,49,6,https://www.grange.co.uk/bentley,https://www.hrowen.co.uk/bentley/offers/,26300000
bentley flying spur cost,Transactional,260,29,1.59,0.90,30,14,https://www.grange.co.uk/bentley/new-cars/flying-spur,https://www.hrowen.co.uk/bentley/flying-spur-range/mulliner/,1580000
bentley motors flying spur,Navigational,260,35,0.58,0.71,20,16,https://www.grange.co.uk/bentley/new-cars/flying-spur,https://www.hrowen.co.uk/bentley/used-cars/flying-spur/,6590000
bentley motors uk,Navigational,260,56,1.07,0.54,26,12,https://www.grange.co.uk/bentley,https://www.hrowen.co.uk/bentley/,14400000
bentley tunbridge wells,"Informational, Transactional",260,19,1.07,0.09,1,44,https://www.grange.co.uk/bentley/find-a-dealer/bentley-tunbridge-wells,https://www.hrowen.co.uk/bentley/,481000
bentley used cars,Commercial,260,31,0.63,0.98,6,3,https://www.grange.co.uk/bentley/used-cars?branch=bentley-chelmsford,https://www.hrowen.co.uk/bentley/used-cars/,58100000
bently continental gt,"Commercial, Informational",260,52,0.94,0.91,15,5,https://www.grange.co.uk/bentley/new-cars/continental-gt,https://www.hrowen.co.uk/bentley/continental-gt-range/,17600000
bently for sale,Transactional,260,24,0.26,1.00,70,5,https://www.grange.co.uk/bentley/used-cars/bentley,https://www.hrowen.co.uk/bentley/used-cars/,139000000
black aventador lamborghini,"Commercial, Informational",260,16,0.00,0.30,58,52,https://www.grange.co.uk/lamborghini/used-cars/lamborghini/aventador,https://www.hrowen.co.uk/lamborghini/used-cars/,20900000
black lamborghini urus,"Commercial, Informational",260,20,0.00,0.92,12,41,https://www.grange.co.uk/lamborghini/used-cars/lamborghini/urus,https://www.hrowen.co.uk/lamborghini/urus-range/,19000000
buy aston martin,Transactional,260,25,0.36,1.00,30,6,https://www.grange.co.uk/aston-martin/used-cars/aston-martin,https://www.hrowen.co.uk/aston-martin/used-cars/,62100000
cheap range rover for sale uk,Transactional,260,23,0.20,0.58,38,66,https://www.grange.co.uk/land-rover/used-cars/land-rover,https://www.hrowen.co.uk/,56600000
cost lamborghini suv,Commercial,260,40,0.31,0.91,40,6,https://www.grange.co.uk/lamborghini/used-cars/lamborghini/urus,https://www.hrowen.co.uk/lamborghini/urus-range/,21200000
cost of rolls royce cars,Informational,260,29,0.31,0.74,19,4,https://www.grange.co.uk/rolls-royce/used-cars/rolls-royce,https://www.hrowen.co.uk/rolls-royce/model-range/,19200000
cost rolls royce phantom,"Informational, Transactional",260,22,0.29,0.43,11,2,https://www.grange.co.uk/rolls-royce/new-cars/phantom/phantom-ewb,https://www.hrowen.co.uk/rolls-royce/phantom-range/,7650000
ghostly rolls royce,"Informational, Transactional",260,41,1.05,0.73,43,6,https://www.grange.co.uk/rolls-royce/news/news-ghost-ii,https://www.hrowen.co.uk/rolls-royce/ghost-range/,16400000
how much does a rolls royce cost,Informational,260,32,0.00,0.43,65,5,https://www.grange.co.uk/rolls-royce/used-cars/rolls-royce,https://www.hrowen.co.uk/rolls-royce/used-cars/,44000000
huracan spyder lambo,Informational,260,21,0.07,0.62,24,3,https://www.grange.co.uk/lamborghini/used-cars/lamborghini/huracan-evo-spyder,https://www.hrowen.co.uk/lamborghini/huracan-range/huracan-evo-spyder/,5510000
interior of a bentley,Informational,260,22,0.00,0.10,16,59,https://www.grange.co.uk/bentley/craftsmanship,https://www.hrowen.co.uk/news/new-flying-spur-most-complex-interior-ever/,92500000
is bentley british,Informational,260,31,0.00,0.07,7,29,https://www.grange.co.uk/bentley/heritage,https://www.hrowen.co.uk/bentley/news/bentley-motors-named-britains-most-admired-automotive-manufacturer-for-second-consecutive-year/,56300000
jaguar dealerships,Navigational,260,44,0.96,0.75,5,59,https://www.grange.co.uk/jaguar/find-a-dealer,https://www.hrowen.co.uk/,59000000
jaguar london,Commercial,260,33,0.92,0.64,58,70,https://www.grange.co.uk/jaguar/find-a-dealer/jaguar-brentwood?fromwoodford=true,https://www.hrowen.co.uk/,43200000
lambo dealership,Commercial,260,39,1.02,0.42,6,2,https://www.grange.co.uk/lamborghini/find-a-dealer/lamborghini-chelmsford,https://www.hrowen.co.uk/lamborghini/,5310000
lambo founder,Informational,260,50,0.00,0.00,4,44,https://www.grange.co.uk/lamborghini/heritage,https://www.hrowen.co.uk/news/centenario-lamborghini-celebrates-its-founding-principles/,798000
lambo owners,Informational,260,47,0.00,0.01,7,35,https://www.grange.co.uk/lamborghini/heritage,https://www.hrowen.co.uk/lamborghini/location/lamborghini-london/,4260000
lamboni car price,Transactional,260,30,0.00,0.68,14,4,https://www.grange.co.uk/lamborghini/new-cars,https://www.hrowen.co.uk/lamborghini/used-cars/,97200000
lamborghini black huracan,Informational,260,18,0.00,0.51,51,40,https://www.grange.co.uk/lamborghini/used-cars/details/lamborghini/huracan-awd-spyder/lp-610-4-2dr-ldf?regno=E5ARU,https://www.hrowen.co.uk/lamborghini/huracan-range/,22100000
lamborghini car price,Commercial,260,28,0.00,0.68,28,5,https://www.grange.co.uk/lamborghini/new-cars,https://www.hrowen.co.uk/lamborghini/used-cars/,133000000
lamborghini car rate,Informational,260,27,0.00,0.68,4,55,https://www.grange.co.uk/lamborghini/new-cars,https://www.hrowen.co.uk/lamborghini/used-cars/,31700000
lamborghini eurus,Navigational,260,65,0.20,0.81,13,9,https://www.grange.co.uk/lamborghini/new-cars/urus,https://www.hrowen.co.uk/lamborghini/urus-range/,24000000
lamborghini lease,"Commercial, Informational",260,9,0.69,0.75,24,31,https://www.grange.co.uk/lamborghini/used-cars/lamborghini/urus,https://www.hrowen.co.uk/lamborghini/finance/,10400000
lamborghini old,"Informational, Transactional",260,34,0.00,0.27,23,19,https://www.grange.co.uk/lamborghini/masterpieces,https://www.hrowen.co.uk/lamborghini/location/lamborghini-london/,95100000
lamborghini owner,Informational,260,44,0.00,0.01,4,25,https://www.grange.co.uk/lamborghini/ferruccio-lamborghini,https://www.hrowen.co.uk/lamborghini/location/lamborghini-london/,38200000
lamborghini ownership,Informational,260,43,0.00,0.01,5,13,https://www.grange.co.uk/lamborghini/heritage,https://www.hrowen.co.uk/lamborghini/,10900000
lamborghini revuelto price uk,Commercial,260,21,0.00,0.22,23,7,https://www.grange.co.uk/lamborghini/used-cars/lamborghini/revuelto,https://www.hrowen.co.uk/lamborghini/revuelto-range/revuelto/,781000
lamborghini urus lease,"Commercial, Informational",260,8,0.78,0.89,3,94,https://www.grange.co.uk/lamborghini/used-cars/lamborghini/urus,https://www.hrowen.co.uk/lamborghini/urus-range/,966000
lamborghinis for sale,Transactional,260,31,0.18,0.99,39,2,https://www.grange.co.uk/lamborghini/used-cars/lamborghini,https://www.hrowen.co.uk/lamborghini/used-cars/,20600000
lotus hatfield,"Informational, Transactional",260,24,2.13,0.80,5,1,https://www.grange.co.uk/mclaren/used-cars/lotus?branch=mclaren-hatfield,https://www.hrowen.co.uk/lotus/location/lotus-hatfield/,63
luxury car dealerships near me,Transactional,260,57,1.07,0.71,67,1,https://www.grange.co.uk/,https://www.hrowen.co.uk/,360000000
luxury car sales,Transactional,260,59,0.79,0.86,69,1,https://www.grange.co.uk/,https://www.hrowen.co.uk/,509000000
mclaren approved used,Navigational,260,16,1.70,0.52,8,23,https://www.grange.co.uk/mclaren/used-cars?branch=mclaren-hatfield,https://www.hrowen.co.uk/approved-used/,10200000
oldest lamborghini,Informational,260,32,0.00,0.27,28,49,https://www.grange.co.uk/lamborghini/heritage,https://www.hrowen.co.uk/lamborghini/news/1963-2023-60-years-of-colours-from-lamborghini/,6500000
price bentley 4x4,"Commercial, Navigational",260,32,1.09,1.00,37,17,https://www.grange.co.uk/bentley/used-cars/bentley,https://www.hrowen.co.uk/bentley/bentayga-range/,10900000
range rover slough,"Informational, Transactional",260,16,1.45,0.98,76,61,https://www.grange.co.uk/land-rover,https://www.hrowen.co.uk/,82
rolls ghost,"Informational, Transactional",260,40,0.30,0.58,22,6,https://www.grange.co.uk/rolls-royce/new-cars/ghost,https://www.hrowen.co.uk/rolls-royce/ghost-range/,78600000
rolls royce car rate,,260,28,0.31,0.74,34,29,https://www.grange.co.uk/rolls-royce/used-cars/rolls-royce,https://www.hrowen.co.uk/rolls-royce/used-cars/,22500000
rolls royce cars for sale,Transactional,260,31,0.25,0.99,52,2,https://www.grange.co.uk/rolls-royce/used-cars/rolls-royce,https://www.hrowen.co.uk/rolls-royce/used-cars/,42500000
rolls royce ghost black badge,Informational,260,24,0.00,0.44,4,9,https://www.grange.co.uk/rolls-royce/new-cars/ghost/ghost-black-badge,https://www.hrowen.co.uk/rolls-royce/ghost-range/black-badge-ghost/,2390000
rolls royce ghost rolls royce,Informational,260,47,0.30,0.58,11,9,https://www.grange.co.uk/rolls-royce/new-cars/ghost-series-ii/ghost,https://www.hrowen.co.uk/rolls-royce/ghost-range/,15200000
rolls royce ghost series 2,Informational,260,28,1.35,0.71,3,5,https://www.grange.co.uk/rolls-royce/new-cars/ghost-series-ii/ghost,https://www.hrowen.co.uk/rolls-royce/ghost-range/ghost-series-ii/,11600000
rolls royce made where,Informational,260,40,0.00,0.10,20,11,https://www.grange.co.uk/rolls-royce/heritage,https://www.hrowen.co.uk/rolls-royce/news/20-years-at-goodwood-the-home-of-rolls-royce-2003-2023/,65800000
rolls royce motor cars history,Informational,260,40,0.00,0.03,5,23,https://www.grange.co.uk/rolls-royce/heritage,https://www.hrowen.co.uk/rolls-royce/location/rolls-royce-motor-cars-london/,11500000
rolls royce phantom car interior,Informational,260,34,0.00,0.03,44,39,https://www.grange.co.uk/rolls-royce/new-cars/phantom,https://www.hrowen.co.uk/rolls-royce/phantom-range/,6520000
rolls royce spectre for sale,Transactional,260,14,0.10,0.93,40,4,https://www.grange.co.uk/rolls-royce/used-cars/rolls-royce/spectre,https://www.hrowen.co.uk/rolls-royce/spectre-range/spectre/,2490000
rolls royve,Navigational,260,80,0.90,0.25,25,8,https://www.grange.co.uk/rolls-royce/new-cars,https://www.hrowen.co.uk/rolls-royce/model-range/,151000000
rolls-royce cullinan black badge,Informational,260,22,0.00,0.00,5,6,https://www.grange.co.uk/rolls-royce/new-cars/cullinan/cullinan-black-badge,https://www.hrowen.co.uk/rolls-royce/cullinan-range/black-badge-cullinan/,2680000
rr phantom car price,Commercial,260,25,0.00,0.95,41,3,https://www.grange.co.uk/rolls-royce/new-cars/phantom/phantom-ewb,https://www.hrowen.co.uk/rolls-royce/phantom-range/,9120000
rr wraith for sale,Transactional,260,21,0.15,0.86,73,9,https://www.grange.co.uk/rolls-royce/used-cars/rolls-royce/wraith,https://www.hrowen.co.uk/rolls-royce/used-cars/,1990000
urus lambo,Navigational,260,46,0.19,0.83,33,6,https://www.grange.co.uk/lamborghini/new-cars/urus,https://www.hrowen.co.uk/lamborghini/urus-range/,29100000
urus suv lamborghini price,"Commercial, Navigational",260,43,0.31,0.91,27,7,https://www.grange.co.uk/lamborghini/used-cars/lamborghini/urus,https://www.hrowen.co.uk/lamborghini/urus-range/,4460000
used aston martin db11,Commercial,260,17,0.18,0.42,8,3,https://www.grange.co.uk/aston-martin/used-cars/aston-martin/db11,https://www.hrowen.co.uk/aston-martin/used-cars/db11/,1660000
used aston martin vanquish,Commercial,260,10,0.31,0.33,10,9,https://www.grange.co.uk/aston-martin/used-cars/aston-martin,https://www.hrowen.co.uk/aston-martin/vanquish-range/,2770000
used bentley cars for sale,Transactional,260,20,0.35,1.00,43,3,https://www.grange.co.uk/bentley/used-cars/bentley,https://www.hrowen.co.uk/bentley/used-cars/,27200000
where are rolls royce cars manufactured,Informational,260,34,0.00,0.10,21,6,https://www.grange.co.uk/rolls-royce/heritage,https://www.hrowen.co.uk/rolls-royce/news/20-years-at-goodwood-the-home-of-rolls-royce-2003-2023/,49400000
where is rolls royce built,Informational,260,39,0.00,0.10,18,4,https://www.grange.co.uk/rolls-royce/heritage,https://www.hrowen.co.uk/rolls-royce/news/20-years-at-goodwood-the-home-of-rolls-royce-2003-2023/,28700000
where is rolls royce made,Informational,260,21,0.00,0.02,17,8,https://www.grange.co.uk/rolls-royce/heritage,https://www.hrowen.co.uk/rolls-royce/news/20-years-at-goodwood-the-home-of-rolls-royce-2003-2023/,10
where is the rolls royce made,Informational,260,30,0.00,0.10,15,9,https://www.grange.co.uk/rolls-royce/heritage,https://www.hrowen.co.uk/rolls-royce/news/20-years-at-goodwood-the-home-of-rolls-royce-2003-2023/,62000000
who owns bentley company,Informational,260,40,1.07,0.01,10,32,https://www.grange.co.uk/bentley/heritage,https://www.hrowen.co.uk/bentley/,133000000
1st lambo,Informational,210,42,0.00,0.05,9,44,https://www.grange.co.uk/lamborghini/heritage,https://www.hrowen.co.uk/lamborghini/used-cars/,1250000
2025 bentley continental gt for sale,Transactional,210,16,0.56,0.99,3,2,https://www.grange.co.uk/bentley/new-cars/continental-gt,https://www.hrowen.co.uk/bentley/continental-gt-range/,7020000
2nd hand lamborghini,Commercial,210,34,0.26,0.61,12,6,https://www.grange.co.uk/lamborghini/used-cars/lamborghini,https://www.hrowen.co.uk/lamborghini/used-cars/,10700000
2nd hand rolls royce,Commercial,210,17,0.15,0.84,13,2,https://www.grange.co.uk/rolls-royce/used-cars/rolls-royce,https://www.hrowen.co.uk/rolls-royce/used-cars/,9060000
